コンセント pistorasia
安物買いの銭失い sitä saat, mitä tilaat
新婦 morsian
ぶらんこ keinu
円柱 sylinteri
自転車 polkupyörä
様 näyttää
ウイルス virus
レタス salaatinlehti
保釈 vapaaksi laskeminen takuita vastaan
公園 puisto
祖母 äidinäiti
抵抗器 vastus
密輸 salakuljettaa
キリバス Kiribati
しらふ selvin päin
せき yskintä
幻覚 hallusinaatio
アイスランド語 islanti
地下道 alikäytävä
輸入 maahantuonti
アップロード lähettää tiedosto
黒曜石 laavalasi
猥褻 rietas
ルーマニア語 romania
こめ riisi
留守番電話 puhelinvastaaja
蜂窩 hunajakenno
焦点 leikkauspiste
駱駝 kameli
開発 kehitys
両生類 sammakkoeläin
ロシア Venäjän federaatio
産科 obstetriikka
ペンギン pingviini
刑法 rikosoikeus
ますます yhä
こんばんは hyvää iltaa
ブルガリア語 bulgaria
カンニングペーパー lunttilappu
韓国人 korealainen
溶接 hitsaus
タミル語 Tamili
せき yskähdys
カブトガニ molukkirapu
スピリッツ alkoholi
幻覚 harha-aistimus
か moskiitto
第十 kymmenes
甘草 laku
フランス Ranska
輸入 tuonti
コバルト koboltti
なまけもの vetelys
フィンランド語 suomen kieli
多様性 monimuotoisuus
猥褻 rivo
同盟 liittouma
かみ tukka
あかい punainen
軽率 varomaton
等脚三角形 kolmio
キス suukko
誘拐 kidnappaus
産科 synnytysoppi
地下鉄 metro
犠牲 kuolonuhri
付近 lähiseutu
染料 värjäysaine
溶接 hitsaaminen
発展 kehitys
スピーカー ämyri
講義 luennoida
悪名 häpeällisyys
幻覚 aistiharha
メソッド metodi
忍耐 maltti
多面体 polyedri
フェンス aita
おちる pudota
現象 ilmiö
いのる pyytää
しま saari
完了 päätös
あたためる lämmitellä
こむぎこ jauho
さけぶ huutaa
ドイツ連邦共和国 Saksan liittotasavalta
ひきだし laatikko
自然 luonnollinen
意見 mielipide
ペスト rutto
組織 järjestö
服従 noudattaa
犠牲 uhri
さいころ arpakuutio
電気抵抗 vastus
付近 läheisyys
相続人 perillinen
口中 suudelma
意志 tahto
電波 radioaallot
かみ paperi
フェロー語 fääri
小児科 lastentautioppi
悪名 pahamaineisuus
第七 seitsemäs
粒子 hiukkanen
雑誌 aikakauslehti
うかぶ muistua mieleen
携帯電話 kännykkä
